Model,Memory Size,Battery Health,Price,Link
iphone 11 pro max,64 gb,84%,300 €,https://mobil.bazos.sk/inzerat/159892287/predam-iphone-11-pro-max-64-gb.php
iphone 12,64 gb,Battery health not found,300 €,https://mobil.bazos.sk/inzerat/160391666/iphone-12-64-gb-cierny.php
iphone 12,Memory size not found,Battery health not found,10 €,https://mobil.bazos.sk/inzerat/160265102/luxusne-kryty-skladom.php
iphone 13,128gb,91%,520 €,https://mobil.bazos.sk/inzerat/160455678/apple-iphone-13-blue-128gb.php
iphone 12 pro max,128gb,97%,530 €,https://mobil.bazos.sk/inzerat/160446402/iphone-12-pro-max-128gb-gold.php
iphone 12,128gb,85%,350 €,https://mobil.bazos.sk/inzerat/160419840/apple-iphone-12-128gb-black.php
iphone 15 plus,128gb,Battery health not found,790 €,https://mobil.bazos.sk/inzerat/160417889/iphone-15-plus-128gb-black.php
iphone 11 pro,256gb,91%,300 €,https://mobil.bazos.sk/inzerat/160396166/iphone-11-pro-256gb.php
iphone 13,128gb,90%,450 €,https://mobil.bazos.sk/inzerat/160408826/iphone-13-128gb-midnight.php
iphone 13 pro,128gb,90%,590 €,https://mobil.bazos.sk/inzerat/160407186/predam-iphone-13-pro-128gb-v-stopercentnom-stave-a-zaruke.php
iphone 15,256gb,Battery health not found,Dohodou,https://mobil.bazos.sk/inzerat/160406997/vymenim-iphone-15-256gb-za-14-pro-max-256-alebo-15-pro.php
iphone 8 plus,64gb,Battery health not found,170 €,https://mobil.bazos.sk/inzerat/160393882/iphone-8-plus-64gb.php
iphone 15 pro,128gb,Battery health not found,1 000 €,https://mobil.bazos.sk/inzerat/160386449/iphone-15-pro-128gb-black-titanium.php
Model not found,64gb,78%,160 €,https://mobil.bazos.sk/inzerat/160359424/iphone-xr-64gb-cierny.php
iphone 11,128gb,94%,320 €,https://mobil.bazos.sk/inzerat/159640506/apple-iphone-11-128gb-black.php
Model not found,Memory size not found,Battery health not found,49 €,https://elektro.bazos.sk/inzerat/159814287/airpods-pro-2.php
iphone 12 mini,64 gb,84%,300 €,https://mobil.bazos.sk/inzerat/160285847/iphone-12-mini.php
iphone 14 plus,128gb,98%,670 €,https://mobil.bazos.sk/inzerat/159812604/iphone-14-plus-fialovy-128gb.php
iphone 13 pro max,128gb,88%,630 €,https://mobil.bazos.sk/inzerat/160000966/iphone-13-pro-max.php
iphone 15 plus,256gb,Battery health not found,950 €,https://mobil.bazos.sk/inzerat/160273600/iphone-15-plus-pink-256gb.php
Model not found,128 gb,84%,210 €,https://mobil.bazos.sk/inzerat/160265692/iphone-xr.php
iphone 15,256gb,Battery health not found,900 €,https://mobil.bazos.sk/inzerat/159829461/iphone-15-black-256gb-cisto-novy.php
Model not found,Memory size not found,100%,30 €,https://oblecenie.bazos.sk/inzerat/160462739/nove-panske-tricko-karl-lagerfeld-velkost-s.php
Model not found,Memory size not found,Battery health not found,30 €,https://oblecenie.bazos.sk/inzerat/160462571/nove-panske-papuce-calvin-klein-velkost-42.php
Model not found,Memory size not found,Battery health not found,45 €,https://oblecenie.bazos.sk/inzerat/160462534/panske-chelsea-cizmy-tommy-hilfiger-velkostc40-v-zaruke.php
Model not found,Memory size not found,100%,60 €,https://oblecenie.bazos.sk/inzerat/160462472/panske-botasky-emporio-armani-velkost-c-40-13.php
iphone 14 plus,128gb,Battery health not found,650 €,https://mobil.bazos.sk/inzerat/160461827/iphone-14-plus.php
iphone 5,Memory size not found,Battery health not found,Dohodou,https://mobil.bazos.sk/inzerat/160461608/kupim-iphone-5c.php
iphone 15 pro max,256gb,Battery health not found,1 500 €,https://mobil.bazos.sk/inzerat/160461119/iphone-15-pro-max-256gb-apple-watch-se-2023.php
iphone 14 pro,256gb,Battery health not found,900 €,https://mobil.bazos.sk/inzerat/160460749/predam-iphone.php
Model not found,Memory size not found,Battery health not found,100 €,https://mobil.bazos.sk/inzerat/160460725/apple.php
iphone 15 pro max,Memory size not found,Battery health not found,7 €,https://mobil.bazos.sk/inzerat/160459897/iphone-15-pro-max-magsafe-kryt.php
iphone 14,Memory size not found,100%,450 €,https://mobil.bazos.sk/inzerat/160459086/iphone-14.php
iphone 13 pro,Memory size not found,Battery health not found,350 €,https://mobil.bazos.sk/inzerat/160459066/iphone-13-pro.php
iphone 13,Memory size not found,Battery health not found,300 €,https://mobil.bazos.sk/inzerat/160459030/iphone-13.php
iphone 12 pro,128gb,86%,420 €,https://mobil.bazos.sk/inzerat/160458223/iphone-12-pro-128gb-silver-vyborny-stav.php
iphone 12,128gb,Battery health not found,400 €,https://mobil.bazos.sk/inzerat/160456318/predam-apple-iphone-12-white-128gb.php
iphone 15 plus,Memory size not found,Battery health not found,7 €,https://mobil.bazos.sk/inzerat/160456258/iphone-15-plus-magsafe-kryt.php
Model not found,Memory size not found,Battery health not found,49 €,https://mobil.bazos.sk/inzerat/160455459/apple-iphone-se-strieborna-metaliza-pekny-stav.php
Model not found,64gb,80%,110 €,https://mobil.bazos.sk/inzerat/160455286/apple-iphone-xr-64gb-black.php
iphone 12 pro max,256gb,84%,499 €,https://mobil.bazos.sk/inzerat/160454860/iphone-12-pro-max.php
Model not found,Memory size not found,Battery health not found,150 €,https://elektro.bazos.sk/inzerat/160454514/opel-insignia-2009-2013.php
Model not found,128 gb,Battery health not found,100 €,https://mobil.bazos.sk/inzerat/160454196/iphone-xr-128-gb.php
iphone 14 pro,128 gb,100%,700 €,https://mobil.bazos.sk/inzerat/160453269/kupim-iphone-14-pro-ciernyfialovy.php
iphone 13,128gb,96%,480 €,https://mobil.bazos.sk/inzerat/160452805/iphone-13.php
iphone 5,Memory size not found,Battery health not found,5 €,https://mobil.bazos.sk/inzerat/160452293/predam-novy-power-case-na-iphone-55s5c.php
iphone 13 pro,Memory size not found,100%,600 €,https://mobil.bazos.sk/inzerat/160069503/iphone-13-pro-airpods-pro.php
iphone 12 mini,64gb,82%,210 €,https://mobil.bazos.sk/inzerat/160450103/apple-iphone-12-mini-64gb.php
iphone 11 pro max,64gb,76%,350 €,https://mobil.bazos.sk/inzerat/160449574/apple-iphone-11-pro-max-64gb-gold.php
iphone 14,Memory size not found,Battery health not found,35 €,https://mobil.bazos.sk/inzerat/160444119/iphone-14-kryt.php
iphone 11,64gb,Battery health not found,290 €,https://mobil.bazos.sk/inzerat/160443659/iphone-11-64gb.php
iphone 15,128 gb,Battery health not found,750 €,https://mobil.bazos.sk/inzerat/160443431/apple-15-128-gb.php
Model not found,256gb,Battery health not found,300 €,https://mobil.bazos.sk/inzerat/160438799/iphone-xs-max-256gb.php
iphone 13,128gb,93%,390 €,https://mobil.bazos.sk/inzerat/160438767/iphone-13-128gb-poskriabane-sklo.php
iphone 7,128gb,100%,150 €,https://mobil.bazos.sk/inzerat/160438712/iphone-7-128gb-red.php
Model not found,64gb,100%,220 €,https://mobil.bazos.sk/inzerat/160438686/iphone-x-64gb.php
iphone 13,Memory size not found,Battery health not found,10 €,https://mobil.bazos.sk/inzerat/160438286/magsafe-kryt-na-iphone-13.php
iphone 13,Memory size not found,Battery health not found,15 €,https://mobil.bazos.sk/inzerat/160438182/kryty-na-iphone-13.php
iphone 13,256 gb,100%,1 €,https://mobil.bazos.sk/inzerat/160436865/novy-iphone-13-256-gb-nabijacka-kryty-rozne-redukcie.php
iphone 15,128gb,Battery health not found,750 €,https://mobil.bazos.sk/inzerat/160436706/apple-iphone-15-128gb-cierna.php
iphone 8,64gb,85%,80 €,https://mobil.bazos.sk/inzerat/160436642/iphone.php
iphone 12 pro,Memory size not found,Battery health not found,3 €,https://mobil.bazos.sk/inzerat/160436584/zadne-ochranne-kryty-pre-iphone-12-pro.php
iphone 15 plus,256 gb,Battery health not found,949 €,https://mobil.bazos.sk/inzerat/160435166/predam-iphone-15-plus-256-gb-novy-green-zaruka-2-roky-doklad.php
iphone 12,64gb,100%,320 €,https://mobil.bazos.sk/inzerat/160434092/iphone-12-64gb-cierny.php
iphone 11,64gb,Battery health not found,250 €,https://mobil.bazos.sk/inzerat/160433233/predam-iphone-11-64gb.php
iphone 13 pro max,Memory size not found,Battery health not found,600 €,https://mobil.bazos.sk/inzerat/160432895/iphone-13-pro-max-128.php
Model not found,Memory size not found,98%,35 €,https://oblecenie.bazos.sk/inzerat/160431934/nove-damske-dzinsy-g-star-raw-3132.php
iphone 14 pro,128gb,100%,800 €,https://mobil.bazos.sk/inzerat/160430953/iphone-14-pro-128-black-100-zdravie-baterie.php
iphone 6,Memory size not found,Battery health not found,65 €,https://mobil.bazos.sk/inzerat/160430243/iphone-6-s.php
iphone 7,32gb,Battery health not found,100 €,https://mobil.bazos.sk/inzerat/160430196/iphone-7-gold-32gb.php
iphone 15 pro,Memory size not found,Battery health not found,7 €,https://mobil.bazos.sk/inzerat/160426882/iphone-15-pro-magsafe-kryt.php
iphone 15,128 gb,Battery health not found,800 €,https://mobil.bazos.sk/inzerat/160424247/iphone-15-128-gb-uplne-novy.php
iphone 13 pro max,512gb,Battery health not found,Dohodou,https://mobil.bazos.sk/inzerat/160424041/predam-mobil.php
iphone 11,64 gb,Battery health not found,200 €,https://mobil.bazos.sk/inzerat/160422593/predam-iphone-11-biely-64-gb.php
iphone 13 pro,128gb,88%,500 €,https://mobil.bazos.sk/inzerat/160421571/iphone-13-pro-128gb.php
iphone 11 pro,64gb,Battery health not found,300 €,https://mobil.bazos.sk/inzerat/160419493/iphone-11pro-64gb-space-grey.php
iphone 12,Memory size not found,Battery health not found,30 €,https://mobil.bazos.sk/inzerat/160418402/predam-nove-kryti-na-iphone-1212pro.php
iphone 12 mini,512gb,Battery health not found,220 €,https://pc.bazos.sk/inzerat/160418070/xbox-series-s.php
iphone 13 mini,256gb,20%,400 €,https://mobil.bazos.sk/inzerat/160417442/iphone-13-mini-256gb-blue.php
iphone 14,Memory size not found,Battery health not found,45 €,https://mobil.bazos.sk/inzerat/160416174/iphone-14-a-14-pro.php
iphone 15 pro,256gb,100%,900 €,https://mobil.bazos.sk/inzerat/160416114/kupim-iphone-15-pro-256gb.php
iphone 13,256gb,89%,400 €,https://mobil.bazos.sk/inzerat/160415061/iphone-13-256gb-blue.php
iphone 7,Memory size not found,Battery health not found,6 €,https://mobil.bazos.sk/inzerat/160414194/puzdro-pre-iphone-7.php
Model not found,64 gb,Battery health not found,120 €,https://mobil.bazos.sk/inzerat/160410901/xr.php
iphone 12,128gb,Battery health not found,300 €,https://mobil.bazos.sk/inzerat/160409335/iphone-12-128gb.php
iphone 6,16gb,100%,V texte,https://mobil.bazos.sk/inzerat/160408851/iphone-6s-biely-a-cierny.php
iphone 14,Memory size not found,Battery health not found,9 €,https://mobil.bazos.sk/inzerat/160408673/iphone-14-cierny-kryt-sklo.php
Model not found,64gb,Battery health not found,250 €,https://mobil.bazos.sk/inzerat/160406252/iphone-xs-64gb-ako-novy.php
iphone 12,64gb,90%,350 €,https://mobil.bazos.sk/inzerat/160405677/iphone-12-64gb.php
iphone 14 pro,128gb,94%,850 €,https://mobil.bazos.sk/inzerat/160404032/iphone-14-pro-128gb-v-zaruke.php
iphone 13 pro,128gb,87%,650 €,https://mobil.bazos.sk/inzerat/160403983/iphone-13-pro-128gb-stav-noveho-mobilu.php
Model not found,Memory size not found,Battery health not found,10 €,https://mobil.bazos.sk/inzerat/160399823/11-ochrannych-skiel-a-kryty.php
iphone 14,128gb,88%,520 €,https://mobil.bazos.sk/inzerat/160398945/iphone-14-128gb.php
iphone 11 pro max,256gb,82%,380 €,https://mobil.bazos.sk/inzerat/160396580/predam-iphone-11-pro-max-256gb.php
iphone 15,Memory size not found,Battery health not found,7 €,https://mobil.bazos.sk/inzerat/160395948/iphone-15-magsafe-kryt.php
iphone 13,Memory size not found,Battery health not found,8 €,https://mobil.bazos.sk/inzerat/160395476/iphone-13-zeleny-kryt-sklo.php
iphone 14 pro max,Memory size not found,Battery health not found,999 €,https://mobil.bazos.sk/inzerat/160095485/iphone-14-pro-max-1-tb-dark-purple-tmava-fialova.php
iphone 13,256gb,Battery health not found,515 €,https://mobil.bazos.sk/inzerat/160384781/iphone-13-256gb.php
iphone 13,128gb,88%,500 €,https://mobil.bazos.sk/inzerat/160384720/iphone-13-128gb.php
iphone 12 pro max,128gb,88%,500 €,https://mobil.bazos.sk/inzerat/160382729/apple-iphone-12-pro-max-128gb.php
iphone 15,256gb,100%,750 €,https://mobil.bazos.sk/inzerat/160382641/predam-iphone-15-256gb.php
iphone 8,64gb,100%,180 €,https://mobil.bazos.sk/inzerat/160382215/iphone-8-64gb.php
Model not found,128gb,Battery health not found,V texte,https://mobil.bazos.sk/inzerat/160381277/iphone-se-2016.php
iphone 15,Memory size not found,Battery health not found,8 €,https://mobil.bazos.sk/inzerat/160380860/iphone-15-kryt-obal.php
iphone 15,256gb,Battery health not found,800 €,https://mobil.bazos.sk/inzerat/160378944/predam-iphone-15-256gb.php
iphone 5,Memory size not found,Battery health not found,20 €,https://mobil.bazos.sk/inzerat/160375862/predam-iphone-5.php
iphone 13,Memory size not found,Battery health not found,8 €,https://mobil.bazos.sk/inzerat/160374953/iphone-13-modry-kryt-sklo.php
iphone 11,64 gb,Battery health not found,250 €,https://mobil.bazos.sk/inzerat/160374784/iphone-11.php
iphone 12 pro max,256 gb,Battery health not found,460 €,https://mobil.bazos.sk/inzerat/160371417/iphone-12-pro-max-256-gb-silver.php
iphone 14 pro,Memory size not found,Battery health not found,630 €,https://mobil.bazos.sk/inzerat/160369574/samsung-galaxy-s22-ultra-na-predaj.php
iphone 13,Memory size not found,Battery health not found,5 €,https://mobil.bazos.sk/inzerat/160369042/iphone-13-kryt-obal-puzdro.php
iphone 13 pro,128gb,89%,650 €,https://mobil.bazos.sk/inzerat/160359850/predamvymenim-iphone-13-pro.php
iphone 14 pro,Memory size not found,Battery health not found,25 €,https://mobil.bazos.sk/inzerat/160359759/iphone-14-pro-case.php
iphone 12 mini,128gb,Battery health not found,330 €,https://mobil.bazos.sk/inzerat/160359337/predam-apple-iphone-12-mini-128gb-biely.php
iphone 11 pro,64gb,Battery health not found,280 €,https://mobil.bazos.sk/inzerat/160358321/apple-iphone-11-pro-64gb-gold.php
Model not found,64 gb,100%,250 €,https://mobil.bazos.sk/inzerat/160358260/apple-iphone-xr-64-gb-biele.php
iphone 12 pro,128gb,82%,380 €,https://mobil.bazos.sk/inzerat/160354686/iphone-12-pro-128gb.php
iphone 14 pro max,256gb,Battery health not found,950 €,https://mobil.bazos.sk/inzerat/160354616/predam-iphone-14-pro-max-256gb-gold-top-stav.php
iphone 14,256gb,94%,770 €,https://mobil.bazos.sk/inzerat/160354529/iphone-14-256gb.php
Model not found,64gb,Battery health not found,165 €,https://mobil.bazos.sk/inzerat/160354438/apple-iphone-xr.php
iphone 7,128gb,88%,140 €,https://mobil.bazos.sk/inzerat/160350407/apple-iphone-7-128gb-rose-gold.php
iphone 15,256gb,100%,900 €,https://mobil.bazos.sk/inzerat/160350140/predam-iphone-15-256gb.php
iphone 14 pro max,512gb,Battery health not found,850 €,https://mobil.bazos.sk/inzerat/160350016/huawei-mate-xs2.php
iphone 14 pro max,512gb,Battery health not found,850 €,https://mobil.bazos.sk/inzerat/160350017/huawei-mate-xs2.php
Model not found,Memory size not found,100%,60 €,https://oblecenie.bazos.sk/inzerat/160349564/panskakvalitnakozena-buda-velkost-l.php
iphone 13 mini,128gb,88%,419 €,https://mobil.bazos.sk/inzerat/160349041/apple-iphone-13-mini-128gb-aj-vymena.php
iphone 14 pro,Memory size not found,Battery health not found,9 €,https://mobil.bazos.sk/inzerat/160346344/iphone-14-pro-fialovy-kryt-sklo-novy.php
iphone 11,64gb,77%,200 €,https://mobil.bazos.sk/inzerat/160346258/iphone-11-64gb-biely.php
iphone 14 pro max,Memory size not found,Battery health not found,9 €,https://mobil.bazos.sk/inzerat/160345678/iphone-14-pro-max-biely-kryt-sklo.php
iphone 8,64gb,100%,120 €,https://mobil.bazos.sk/inzerat/160344926/iphone-8-64gb.php
iphone 11 pro,256 gb,95%,320 €,https://mobil.bazos.sk/inzerat/160343263/predam-iphone-11-pro-256-gb.php
iphone 12 pro max,128gb,85%,500 €,https://mobil.bazos.sk/inzerat/160342966/iphone-12-pro-max-pacific-blue.php
iphone 6,Memory size not found,Battery health not found,15 €,https://mobil.bazos.sk/inzerat/160342591/iphone6s-na-diely.php
Model not found,Memory size not found,Battery health not found,8 €,https://auto.bazos.sk/inzerat/160340571/1224v-rozdvojka-s-usb-pd-a-voltmetrom.php
iphone 8,64gb,76%,90 €,https://mobil.bazos.sk/inzerat/160340234/iphone-8-64gb.php
iphone 12,128gb,92%,400 €,https://mobil.bazos.sk/inzerat/160338518/iphone-12-black.php
iphone 13,256gb,88%,449 €,https://mobil.bazos.sk/inzerat/160059186/iphone-13-256gb-88-bateria.php
Model not found,Memory size not found,Battery health not found,649 €,https://mobil.bazos.sk/inzerat/160061937/apple-watch-ultra-2.php
iphone 15 pro,Memory size not found,Battery health not found,20 €,https://mobil.bazos.sk/inzerat/160336805/ochranne-sklokamerakryt-iphone-15-pro.php
iphone 6,64gb,Battery health not found,120 €,https://mobil.bazos.sk/inzerat/160059050/predam-iphone-6s-plus-64gb.php
iphone 15,128gb,Battery health not found,800 €,https://mobil.bazos.sk/inzerat/160334054/iphone-15-128gb-black.php
